ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
163.153.134.56,,US,Bombay,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:43:57Z,2015-01-11T18:03:28Z
129.71.254.12,dns.state.wv.us.,US,Charleston,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:44:01Z,2015-01-11T18:05:23Z
66.199.229.219,66-199-229-219.reverse.ezzi.net.,US,Katy,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:44:08Z,2015-01-11T18:13:15Z
70.61.131.178,rrcs-70-61-131-178.central.biz.rr.com.,US,,Microsoft DNS 6.1.7601 (1DB14556),,false,0.50,2017-04-28T20:44:19Z,2015-01-11T18:18:31Z
209.200.117.42,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:44:27Z,2015-01-11T18:18:33Z
64.250.192.67,64-250-192-67.pldi.net.,US,Kingfisher,9.8.2rc1-RedHat-9.8.2-0.47.rc1.el6_8.2,,false,1.00,2017-04-28T20:44:20Z,2015-01-11T18:19:24Z
108.170.68.90,mail.psmidwives.com.,US,Kings Park,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:44:23Z,2015-01-11T18:20:16Z
66.244.93.193,jbt-gw.jbt.smithvilledigital.net.,US,Bloomington,dnsmasq-2.45,,true,1.00,2017-04-28T20:44:26Z,2015-01-11T18:22:54Z
99.42.170.52,99-42-170-52.lightspeed.milwwi.sbcglobal.net.,US,Port Washington,Microsoft DNS 6.1.7601 (1DB15B4F),,false,0.50,2017-04-28T20:44:27Z,2015-01-11T18:23:56Z
173.12.64.65,173-12-64-65-miami.hfc.comcastbusiness.net.,US,Port Saint Lucie,,,false,1.00,2017-04-28T20:44:45Z,2015-01-11T18:35:36Z
209.200.117.78,,US,Phoenix,,,false,1.00,2017-04-28T20:44:55Z,2015-01-11T18:43:58Z
209.92.108.202,ns.valent.com.,US,Oakley,Microsoft DNS 6.1.7601 (1DB14556),,false,0.50,2017-04-28T20:45:04Z,2015-01-11T18:50:02Z
63.215.129.132,,US,Gainesville,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:45:05Z,2015-01-11T18:53:51Z
198.89.159.240,ne2.baxter.com.,US,Vernon Hills,,,false,0.50,2017-04-28T20:45:12Z,2015-01-11T18:54:02Z
63.96.131.15,,US,,,,false,1.00,2017-04-28T20:45:12Z,2015-01-11T18:55:41Z
74.143.88.215,rrcs-74-143-88-215.central.biz.rr.com.,US,Louisville,,,false,1.00,2017-04-28T20:45:20Z,2015-01-11T19:02:06Z
75.103.96.206,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:45:21Z,2015-01-11T19:03:27Z
64.53.14.168,mail.lincolnsheriff.org.,US,Lincolnton,,,false,1.00,2017-04-28T20:45:18Z,2015-01-11T19:03:38Z
66.52.100.20,qglobal.net.,US,Stockton,,,false,1.00,2017-04-28T20:45:21Z,2015-01-11T19:05:57Z
216.30.183.40,,US,Charlottesville,,,false,1.00,2017-04-28T20:45:42Z,2015-01-11T19:16:02Z
75.145.139.53,graphicsales.org.,US,La Grange Park,,,false,1.00,2017-04-28T20:45:39Z,2015-01-11T19:17:47Z
66.52.100.2,ns1.qglobal.net.,US,Stockton,,,false,1.00,2017-04-28T20:45:46Z,2015-01-11T19:18:35Z
173.164.208.103,173-164-208-103-SFBA.hfc.comcastbusiness.net.,US,,,,false,1.00,2017-04-28T20:45:47Z,2015-01-11T19:21:09Z
184.0.200.3,mo-184-0-200-3.sta.centurylinkservices.net.,US,,Served by POWERDNS 2.9.21 $Id: packethandler.cc 1036 2007-04-19 20:43:14Z ahu $,,false,1.00,2017-04-28T20:45:47Z,2015-01-11T19:21:10Z
50.76.175.165,50-76-175-165-static.hfc.comcastbusiness.net.,US,Maryville,Microsoft DNS 6.0.6001 (17714726),,false,1.00,2017-04-28T20:45:51Z,2015-01-11T19:22:19Z
74.205.88.91,,US,San Antonio,,,false,1.00,2017-04-28T20:45:58Z,2015-01-11T19:26:32Z
40.140.15.5,h5.15.140.40.ip.windstream.net.,US,,Microsoft DNS 6.0.6002 (1772487D),,false,1.00,2017-04-28T20:46:00Z,2015-01-11T19:29:30Z
50.254.16.165,50-254-16-165-static.hfc.comcastbusiness.net.,US,Homer Glen,,,false,1.00,2017-04-28T20:46:01Z,2015-01-11T19:30:01Z
69.90.204.254,,US,New York,,,false,1.00,2017-04-28T20:46:02Z,2015-01-11T19:31:50Z
